variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08
info_risk_index,VGB,0.376,0.223,0.334,0.401,0.181,0.194,0.227,0.286
info_risk_index,VIR,0.575,0.459,0.459,0.489,0.369,0.367,0.327,0.515
info_risk_index,VNM,0.270,0.202,0.293,0.344,0.320,0.315,0.380,0.500
info_risk_index,VUT,0.305,0.316,0.169,0.175,0.269,0.430,0.465,0.314
info_risk_index,WLF,,0.000,0.000,,1.000,,,
info_risk_index,WSB,,,,,,,,
info_risk_index,WSM,0.354,0.180,0.135,0.328,0.209,0.000,0.179,0.000
info_risk_index,YEM,0.386,0.273,0.285,0.235,0.353,0.174,0.241,0.195
info_risk_index,ZAF,0.097,0.061,0.047,0.044,0.036,0.014,0.019,0.028
info_risk_index,ZMB,0.370,0.239,0.235,0.217,0.201,0.207,0.233,0.245
info_risk_index,ZWE,0.269,0.231,0.264,0.303,0.334,0.181,0.145,0.083
info_risk_index,_WORLD,0.231,0.204,0.215,0.234,0.234,0.236,0.252,0.263
