date,iso,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_unreliable_fraction,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_risk_index,info_risk_index_T,info_risk_index_RE,info_risk_index_RT,info_dyn_iri,info_dyn_iri_RE,info_dyn_iri_RT,eco_open_close_fraction,epi_cases,epi_cases_new,epi_deaths,epi_deaths_new,epi_tests,epi_tests_new
2020-06-10,YEM,382,76,18,288,35,5,2,23,0.2857,6,15,0,5,0,0,2,0,0,,,,,,,,,524.0,28.0,127.0,15.0,,
2020-06-11,YEM,380,93,12,275,34,4,1,11,0.2,2,6,0,4,0,0,1,0,0,,,,,,,,,560.0,36.0,129.0,2.0,,
2020-06-12,YEM,316,67,10,239,16,4,5,27,0.5556,3,22,0,4,0,0,5,0,0,,,,,,,,,591.0,31.0,136.0,7.0,,
2020-06-13,YEM,451,91,21,339,54,6,7,31,0.5385,4,27,0,6,0,0,5,2,0,,,,,,,,,632.0,41.0,139.0,3.0,,
2020-06-14,YEM,400,96,18,286,54,4,4,30,0.5,2,26,0,4,0,0,4,0,0,,,,,,,,,705.0,73.0,160.0,21.0,,
2020-06-15,YEM,401,79,31,291,58,7,5,40,0.4167,18,21,2,5,0,0,5,0,0,,,,,,,,,728.0,23.0,164.0,4.0,,
2020-06-16,YEM,377,82,13,282,38,13,7,42,0.35,30,12,1,12,0,0,7,0,0,,,,,,,,,844.0,116.0,208.0,44.0,,
2020-06-17,YEM,339,72,39,228,45,10,5,20,0.3333,7,13,1,9,0,0,5,0,0,,,,,,,,,889.0,45.0,215.0,7.0,,
2020-06-18,YEM,557,173,22,362,25,21,7,22,0.25,6,16,0,21,0,0,7,0,0,,,,,,,,,902.0,13.0,244.0,29.0,,
2020-06-19,YEM,360,70,44,246,50,24,4,19,0.1429,4,14,0,24,0,0,4,0,0,,,,,,,,,906.0,4.0,248.0,4.0,,
2020-06-20,YEM,597,122,39,436,56,9,2,30,0.1818,2,26,0,9,0,0,2,0,0,,,,,,,,,919.0,13.0,251.0,3.0,,
2020-06-21,YEM,423,84,58,281,23,6,5,28,0.4545,5,21,0,6,0,0,5,0,0,,,,,,,,,923.0,4.0,254.0,3.0,,
2020-06-22,YEM,518,136,33,349,28,8,4,28,0.3333,4,24,0,8,0,0,4,0,0,,,,,,,,,941.0,18.0,256.0,2.0,,
2020-06-23,YEM,2990,2033,45,912,57,12,5,17,0.2941,2,14,0,12,0,0,4,0,1,0.1666,0.0,0.0,0.2823,0.3333,0.0,0.4167,,967.0,26.0,257.0,1.0,,
2020-06-24,YEM,549,182,19,348,30,8,1,18,0.1111,3,12,0,8,0,0,1,0,0,,,,,,,,,992.0,25.0,261.0,4.0,,
2020-06-25,YEM,374,120,17,237,16,5,3,20,0.375,7,13,0,5,0,0,3,0,0,,,,,,,,,1015.0,23.0,274.0,13.0,,
2020-06-26,YEM,373,97,21,255,23,18,1,19,0.0526,1,17,0,18,0,0,1,0,0,,,,,,,,,1076.0,61.0,288.0,14.0,,
2020-06-27,YEM,332,72,32,228,37,9,3,32,0.25,7,25,0,9,0,0,3,0,0,,,,,,,,,1089.0,13.0,293.0,5.0,,
2020-06-28,YEM,334,66,19,249,33,9,2,15,0.1818,5,9,0,9,0,0,2,0,0,,,,,,,,,1103.0,14.0,296.0,3.0,,
2020-06-29,YEM,379,108,24,247,109,9,2,12,0.1818,3,7,1,8,0,0,2,0,0,,,,,,,,,1118.0,15.0,302.0,6.0,,
2020-06-30,YEM,326,79,18,229,37,7,5,16,0.4167,4,10,0,7,0,0,5,0,0,,,,,,,,,1128.0,10.0,304.0,2.0,,
2020-07-01,YEM,327,81,29,217,42,11,3,13,0.2143,3,9,0,11,0,0,3,0,0,,,,,,,,,1158.0,30.0,312.0,8.0,,
2020-07-02,YEM,305,61,14,230,50,10,3,13,0.2308,4,9,1,9,0,0,1,2,0,,,,,,,,,1190.0,32.0,318.0,6.0,,
